dataset	algorithm	parameters	seed	accuracy	f1_macro	bal_accuracy	roc_auc	time
geis_250.40	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	4180	0.9051638530287984	0.905128277852109	0.9053637598083348	0.9609958982729617	1497.1505936
geis_250.40	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	11085	0.9084740152267461	0.908300267903738	0.9082361758827449	0.9634968683158596	1573.514440743
geis_250.40	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	14899	0.9054948692485931	0.9054544023523726	0.905556005411567	0.9617580996270481	1622.5318322429998
geis_250.40	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	3674	0.911453161204899	0.9112876208815153	0.9109545480404624	0.9655942156615468	1564.2940397510001
geis_250.40	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	7016	0.9076464746772592	0.9076277602330054	0.9077804932061997	0.9619443414729343	1595.901937855
geis_250.40	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	9168	0.9155908639523337	0.9155208012569975	0.915529050253375	0.9634336877048456	1595.594061803
geis_250.40	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	27164	0.9046673286991063	0.9046037342617181	0.9046848184017486	0.9600506747594927	1647.413859511
geis_250.40	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	16612	0.9083085071168487	0.9082723243778994	0.9082781236358282	0.961998444953638	1611.36092458
geis_250.40	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	30993	0.9083085071168487	0.9082735208748038	0.9084672718187875	0.9641063304288369	1671.281426204
geis_250.40	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	1188	0.9078119827871566	0.9077273353526756	0.9077381418716322	0.9620845709091351	1679.288081663
