dataset	algorithm	parameters	seed	accuracy	f1_macro	bal_accuracy	roc_auc	time
geis_331.0	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.0001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	11085	0.7610887096774194	0.7600901253918495	0.7606713312297069	0.832312007438911	500.13709523299997
geis_331.0	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	14899	0.7777217741935484	0.7777203624482405	0.7779070417524332	0.8573606769840666	497.41154370199996
geis_331.0	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.0001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	16612	0.7757056451612904	0.7756960148492653	0.7759708602134139	0.8474975471132191	479.530191823
geis_331.0	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	3674	0.7832661290322581	0.783222952672513	0.7834047245214758	0.8503447610046595	494.67360328399997
geis_331.0	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	27164	0.7847782258064516	0.7847689850351376	0.7848465694065616	0.8578383948424231	530.466923361
geis_331.0	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.0001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	9168	0.766633064516129	0.7665831938944176	0.766586589272068	0.8506312700193487	486.358815423
geis_331.0	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=log2,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	30993	0.7706653225806451	0.7703371290767309	0.7710717563209935	0.8381699683836001	517.9961709410001
geis_331.0	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	4180	0.7741935483870968	0.7740824335590394	0.7743886017997693	0.8423875652302049	538.825736098
geis_331.0	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	7016	0.782258064516129	0.781586664750331	0.783043336856655	0.8614155622408326	562.4150292620001
geis_331.0	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	1188	0.7620967741935484	0.7619797067854166	0.7619445435355503	0.8419064925508897	505.88532071299994
