dataset	algorithm	parameters	seed	accuracy	f1_macro	bal_accuracy	roc_auc	time
geis_331.0_cutoff365	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0.1,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	11085	0.7772426249247442	0.7768575536642751	0.7767121539139921	0.8569269419109286	345.725089839
geis_331.0_cutoff365	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0.1,learning_rate=0.01,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	27164	0.7784467188440698	0.7778087968011631	0.7781792347508373	0.8461295327021502	333.25538828699996
geis_331.0_cutoff365	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	14899	0.7664057796508128	0.7664056949820944	0.7664574416257786	0.8455801753836518	368.391880561
geis_331.0_cutoff365	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0.1,learning_rate=0.01,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	3674	0.7676098735701384	0.7674681928305117	0.7679927208398585	0.8519865437039614	351.099038162
geis_331.0_cutoff365	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0.1,learning_rate=0.3,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	16612	0.7603853100541842	0.7599710982658959	0.7599108401445585	0.8354864345919357	327.556434193
geis_331.0_cutoff365	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	30993	0.7874774232390126	0.7874771151143729	0.7874821668831772	0.8634229725341005	324.555823838
geis_331.0_cutoff365	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0,learning_rate=0.01,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	7016	0.7633955448524985	0.7633612359666648	0.7634387088168602	0.8447705169024131	352.800515399
geis_331.0_cutoff365	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0,learning_rate=0.01,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	9168	0.7664057796508128	0.7659285452780958	0.7663267258977452	0.8377809803284774	369.851726111
geis_331.0_cutoff365	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0.1,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	4180	0.7959060806742926	0.7957876504041423	0.7966330186079567	0.8621321556512784	369.888495843
geis_331.0_cutoff365	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	1188	0.7645996387718242	0.7645965670914155	0.7646583724841947	0.8360818688011137	362.409078432
