dataset	algorithm	parameters	seed	accuracy	f1_macro	bal_accuracy	roc_auc	time
geis_327.23_cutoff182	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	11085	0.782246740220662	0.7821528322853273	0.7821456915254539	0.8681786388222302	1746.811270846
geis_327.23_cutoff182	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	9168	0.7878635907723169	0.7878528319776381	0.7879048444003127	0.866592662121363	1840.4292454640001
geis_327.23_cutoff182	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0.1,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	30993	0.785456369107322	0.7854237102009302	0.7854640780587179	0.8671276338201648	1845.549657698
geis_327.23_cutoff182	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0.1,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	7016	0.7831494483450351	0.7831426067089398	0.7831398506617437	0.8656243620480283	1841.3697280190001
geis_327.23_cutoff182	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0.1,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	16612	0.7821464393179539	0.7820830817534115	0.7821464393179538	0.8596154763186248	1859.6222409240002
geis_327.23_cutoff182	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0.1,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	1188	0.7844533600802407	0.7844149954060148	0.7844866162330749	0.8671034334504195	1857.467640518
geis_327.23_cutoff182	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	4180	0.7815446339017051	0.7815160685952286	0.7815893854837404	0.8628665291292718	1863.787292529
geis_327.23_cutoff182	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	27164	0.7872617853560682	0.7872448314483058	0.7874256111923523	0.8695940739116631	1914.922563086
geis_327.23_cutoff182	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0.1,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	14899	0.7888665997993982	0.7888301425246236	0.7888195274690901	0.8660171257031667	1905.645048141
geis_327.23_cutoff182	XGB	base_score=0.5,booster=gbtree,colsample_bylevel=1,colsample_bytree=1,gamma=0.1,learning_rate=0.1,max_delta_step=0,max_depth=3,min_child_weight=1,missing=None,n_estimators=500,n_jobs=1,nthread=None,objective=binary:logistic,random_state=0,reg_alpha=0,reg_lambda=1,scale_pos_weight=1,seed=None,silent=True,subsample=1	3674	0.783049147442327	0.7830161220965928	0.7830052971698098	0.8680559758636555	1904.9503422270002
