dataset	algorithm	parameters	seed	accuracy	f1_macro	bal_accuracy	roc_auc	time
geis_585.9_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	11085	0.8174042394942358	0.8173783769914562	0.818095198560952	0.8852713435727134	713.809376333
geis_585.9_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	27164	0.8226106359241354	0.8224612530705695	0.8223672052488245	0.8940906460219394	715.67127571
geis_585.9_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.0001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	14899	0.8244700632205281	0.8243026692758082	0.8243401057070054	0.8917371730401773	757.1621822760001
geis_585.9_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.0001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	3674	0.8293045741911491	0.8292251233749766	0.8296047907106952	0.8960601892782176	730.912947306
geis_585.9_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	16612	0.8356266269988843	0.83554199529542	0.8355478106934418	0.9028512156667496	760.6706582380001
geis_585.9_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	9168	0.8274451468947565	0.8273314549208687	0.8275175530019894	0.8923579993671404	747.606699622
geis_585.9_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	7016	0.8207512086277426	0.8206041087411236	0.8205128985625956	0.8873996329560321	718.563325879
geis_585.9_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	30993	0.8386017106731127	0.8385239731903189	0.8385936670207117	0.906525491237387	755.791504878
geis_585.9_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.0001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	4180	0.840833023428784	0.840771166002021	0.8411434214675763	0.9029768128931601	766.694794159
geis_585.9_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.0001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	1188	0.8244700632205281	0.8243674389358273	0.8243608737215262	0.8924840010975733	748.3306104
